time, color, angle
39507, 35, -50
39548, 14, -50
39589, 8, -50
39629, 5, -50
39669, 8, -50
39709, 19, -50
39750, 42, 50
39795, 62, 50
39845, 72, 50
39886, 72, 50
39927, 70, 50
39969, 59, 50
40010, 39, -50
40054, 18, -50
40098, 6, -50
40140, 5, -50
40180, 8, -50
40220, 23, -50
40260, 50, 50
40304, 63, 50
40345, 67, 50
40386, 66, 50
40426, 64, 50
40466, 54, 50
40515, 28, -50
40556, 14, -50
40596, 6, -50
40636, 5, -50
40676, 8, -50
40717, 21, -50
40758, 42, 50
40799, 53, 50
40839, 62, 50
40880, 65, 50
40924, 58, 50
40966, 42, 50
41007, 25, -50
41048, 9, -50
41090, 6, -50
41134, 5, -50
41175, 8, -50
41215, 19, -50
41256, 41, 50
41297, 51, 50
41338, 63, 50
41378, 65, 50
41418, 61, 50
41459, 55, 50
41500, 34, -50
41540, 12, -50
41584, 6, -50
41625, 4, -50
41666, 7, -50
41706, 22, -50
41749, 44, 50
41790, 58, 50
41830, 66, 50
41871, 68, 50
41916, 68, 50
41956, 66, 50
41999, 51, 50
42044, 25, -50
42085, 9, -50
42125, 5, -50
42165, 4, -50
42206, 5, -50
42246, 21, -50
42295, 51, 50
42336, 65, 50
42376, 70, 50
42417, 70, 50
42460, 68, 50
42504, 66, 50
42545, 52, 50
42586, 36, -50
42628, 15, -50
42669, 10, -50
42712, 5, -50
42756, 9, -50
42797, 25, -50
42838, 52, 50
42879, 62, 50
42920, 68, 50
42961, 69, 50
43005, 68, 50
43046, 69, 50
43087, 54, 50
43127, 27, -50
43168, 11, -50
43208, 6, -50
43249, 5, -50
43290, 6, -50
43330, 20, -50
43371, 41, 50
43416, 57, 50
43456, 61, 50
43496, 63, 50
43536, 61, 50
43582, 57, 50
43625, 47, 50
43666, 31, -50
43707, 21, -50
43748, 11, -50
43788, 8, -50
43828, 11, -50
43868, 39, -50
43908, 59, 50
43949, 62, 50
43993, 62, 50
44035, 64, 50
44077, 63, 50
44119, 63, 50
44164, 63, 50
44207, 59, 50
44247, 48, 50
44288, 33, -50
44330, 18, -50
44374, 7, -50
44416, 6, -50
44456, 11, -50
44496, 48, 50
44546, 68, 50
44587, 70, 50
44634, 70, 50
44676, 69, 50
44717, 66, 50
44765, 50, 50
44806, 24, -50
44847, 10, -50
44887, 6, -50
44928, 5, -50
44968, 6, -50
45009, 31, -50
45054, 69, 50
45095, 75, 50
45139, 77, 50
45182, 77, 50
45225, 77, 50
45266, 77, 50
45307, 77, 50
45349, 74, 50
45390, 63, 50
45435, 45, 50
45476, 18, -50
45517, 6, -50
45557, 5, -50
45599, 5, -50
45639, 5, -50
45680, 21, -50
45720, 53, 50
45760, 69, 50
45804, 77, 50
45846, 76, 50
45888, 75, 50
45932, 74, 50
45975, 68, 50
46015, 52, 50
46056, 30, -50
46098, 13, -50
46139, 6, -50
46180, 6, -50
46221, 15, -50
46265, 60, 50
46305, 82, 50
46345, 77, 50
46385, 81, 50
46426, 82, 50
46467, 82, 50
46507, 74, 50
46548, 70, 50
46592, 31, -50
46636, 17, -50
46677, 15, -50
46719, 13, -50
46762, 16, -50
46805, 23, -50
46846, 53, 50
46887, 69, 50
46927, 75, 50
46971, 76, 50
47015, 74, 50
47056, 66, 50
47096, 53, 50
47136, 32, -50
47177, 16, -50
47219, 10, -50
47259, 7, -50
47299, 13, -50
47339, 50, 50
47379, 67, 50
47419, 72, 50
47460, 73, 50
47500, 71, 50
47545, 63, 50
47586, 47, 50
47626, 32, -50
47666, 16, -50
47706, 11, -50
47753, 8, -50
47793, 26, -50
47836, 62, 50
47877, 71, 50
47918, 71, 50
47958, 70, 50
47999, 69, 50
48039, 67, 50
48079, 60, 50
48120, 53, 50
48160, 37, -50
48200, 22, -50
48246, 10, -50
48288, 9, -50
48329, 20, -50
48369, 54, 50
48410, 60, 50
48454, 66, 50
48495, 66, 50
48535, 65, 50
48576, 63, 50
48616, 60, 50
48656, 52, 50
48697, 36, -50
48737, 20, -50
48778, 8, -50
48819, 6, -50
48859, 9, -50
48903, 36, -50
48945, 58, 50
48986, 67, 50
49026, 68, 50
49066, 68, 50
49107, 68, 50
49148, 68, 50
49188, 69, 50
49230, 66, 50
49270, 55, 50
49311, 39, -50
49359, 25, -50
49399, 15, -50
49440, 10, -50
49480, 16, -50
49520, 49, 50
49564, 66, 50
49605, 66, 50
49645, 67, 50
49686, 67, 50
49727, 68, 50
49768, 68, 50
49808, 64, 50
49848, 47, 50
49888, 26, -50
49929, 10, -50
49970, 6, -50
50014, 6, -50
50055, 6, -50
50096, 24, -50
50136, 67, 50
50177, 72, 50
50217, 72, 50
50258, 72, 50
50299, 72, 50
50339, 73, 50
50383, 75, 50
50426, 75, 50
50466, 69, 50
50506, 47, 50
50546, 21, -50
50587, 10, -50
50628, 7, -50
50669, 7, -50
50710, 8, -50
50755, 45, 50
50796, 72, 50
50837, 74, 50
50878, 69, 50
50925, 58, 50
50965, 58, 50
51005, 65, 50
51046, 60, 50
51087, 44, 50
51128, 28, -50
51169, 16, -50
51209, 6, -50
51257, 5, -50
51300, 12, -50
51345, 40, 0
51385, 62, 50
51428, 66, 50
51469, 68, 50
51509, 66, 50
51550, 66, 50
51594, 62, 50
51635, 47, 50
51680, 18, -50
51725, 7, -50
51766, 4, -50
51806, 5, -50
51847, 5, -50
51888, 24, -50
51929, 60, 50
51969, 71, 50
52009, 76, 50
52050, 76, 50
52094, 75, 50
52135, 77, 50
52179, 67, 50
52220, 41, 50
52261, 15, -50
52302, 7, -50
52343, 5, -50
52385, 5, -50
52425, 5, -50
52465, 9, -50
52506, 33, -50
52547, 66, 50
52587, 77, 50
52628, 79, 50
52668, 78, 50
52708, 77, 50
52749, 77, 50
52790, 69, 50
52834, 43, 50
52875, 16, -50
52916, 11, -50
52956, 5, -50
52996, 5, -50
53037, 5, -50
53078, 9, -50
53119, 35, -50
53163, 56, 50
53205, 69, 50
53245, 70, 50
53286, 69, 50
53327, 69, 50
53375, 69, 50
53415, 66, 50
53456, 45, 50
53497, 23, -50
53537, 9, -50
53577, 5, -50
53618, 4, -50
53659, 4, -50
53699, 7, -50
53740, 23, -50
53785, 44, 50
53826, 55, 50
53867, 64, 50
53907, 65, 50
53949, 65, 50
53989, 62, 50
54029, 49, 50
54074, 28, -50
54115, 13, -50
54155, 6, -50
54196, 5, -50
54236, 7, -50
54277, 22, -50
54318, 54, 50
54359, 72, 50
54404, 73, 50
54446, 85, 50
54487, 85, 50
54528, 77, 50
54569, 49, 50
54611, 23, -50
54656, 9, -50
54697, 5, -50
54738, 5, -50
54779, 6, -50
54824, 22, -50
54865, 44, 50
54906, 59, 50
54947, 66, 50
54990, 69, 50
55034, 67, 50
55075, 55, 50
55116, 37, -50
55157, 16, -50
55198, 6, -50
55238, 5, -50
55279, 6, -50
